n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Mike Conley OVER PTS 2.5 (GOBLIN) [id:11882721] | Julius Randle UNDER RA 10.5 (STANDARD) [id:11881508] | VJ Edgecombe OVER PA 19.5 (DEMON) [id:11879237],0.3773015491722734,6.0,0.30071202785218526,1.8042721671131114,0.6807546837801919,6.0,pp_kernel,0.7389039602928675,0.025117371284880254,Mike Conley OVER PTS 2.5 (GOBLIN) [id:11882721] | Julius Randle UNDER RA 10.5 (STANDARD) [id:11881508] | VJ Edgecombe OVER PA 19.5 (DEMON) [id:11879237],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,0.9757546837801918,"['mike conley', 'julius randle', 'vj edgecombe']",0.6807546837801919,1,Mike Conley OVER PTS 2.5 (GOBLIN) [id:11882721],Julius Randle UNDER RA 10.5 (STANDARD) [id:11881508],VJ Edgecombe OVER PA 19.5 (DEMON) [id:11879237],2,Mike Conley | Julius Randle
3,Karl-Anthony Towns OVER PTS 14.5 (GOBLIN) [id:11878917] | Julius Randle UNDER AST 4 (STANDARD) [id:11887221] | Jaden McDaniels OVER PRA 24.5 (DEMON) [id:11881437],0.3162849958733285,6.0,0.35772442537671384,2.146346552260283,0.6788572104243764,6.0,pp_kernel,0.6931237320478664,0.06192783866410204,Karl-Anthony Towns OVER PTS 14.5 (GOBLIN) [id:11878917] | Julius Randle UNDER AST 4 (STANDARD) [id:11887221] | Jaden McDaniels OVER PRA 24.5 (DEMON) [id:11881437],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,0.9738572104243763,"['karl-anthony towns', 'julius randle', 'jaden mcdaniels']",0.6788572104243764,1,Karl-Anthony Towns OVER PTS 14.5 (GOBLIN) [id:11878917],Julius Randle UNDER AST 4 (STANDARD) [id:11887221],Jaden McDaniels OVER PRA 24.5 (DEMON) [id:11881437],2,Julius Randle | Jaden McDaniels
3,Ayo Dosunmu OVER PRA 14.5 (GOBLIN) [id:11908816] | Karl-Anthony Towns UNDER FG3M 1.5 (STANDARD) [id:11879103] | Jaden McDaniels OVER PTS 18.5 (DEMON) [id:11896004],0.287785798541359,6.0,0.3883415398291264,2.3300492389747585,0.6705550808790367,6.0,pp_kernel,0.6722061818238609,0.0385082761149434,Ayo Dosunmu OVER PRA 14.5 (GOBLIN) [id:11908816] | Karl-Anthony Towns UNDER FG3M 1.5 (STANDARD) [id:11879103] | Jaden McDaniels OVER PTS 18.5 (DEMON) [id:11896004],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,0.9655550808790367,"['ayo dosunmu', 'karl-anthony towns', 'jaden mcdaniels']",0.6705550808790367,1,Ayo Dosunmu OVER PRA 14.5 (GOBLIN) [id:11908816],Karl-Anthony Towns UNDER FG3M 1.5 (STANDARD) [id:11879103],Jaden McDaniels OVER PTS 18.5 (DEMON) [id:11896004],2,Ayo Dosunmu | Jaden McDaniels
3,Jaden McDaniels OVER PRA 18.5 (GOBLIN) [id:11882703] | Rudy Gobert UNDER RA 13 (STANDARD) [id:11881589] | Dylan Harper OVER PRA 24.5 (DEMON) [id:11881411],0.2668120853283809,6.0,0.41778025986843165,2.5066815592105898,0.6688129340671748,6.0,pp_kernel,0.6539439612307385,0.02954836817671945,Jaden McDaniels OVER PRA 18.5 (GOBLIN) [id:11882703] | Rudy Gobert UNDER RA 13 (STANDARD) [id:11881589] | Dylan Harper OVER PRA 24.5 (DEMON) [id:11881411],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,0.9638129340671748,"['jaden mcdaniels', 'rudy gobert', 'dylan harper']",0.6688129340671748,1,Jaden McDaniels OVER PRA 18.5 (GOBLIN) [id:11882703],Rudy Gobert UNDER RA 13 (STANDARD) [id:11881589],Dylan Harper OVER PRA 24.5 (DEMON) [id:11881411],2,Jaden McDaniels | Rudy Gobert
3,OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:11878952] | Joel Embiid OVER PR 35.5 (STANDARD) [id:11879068] | Dylan Harper OVER PRA 24.5 (DEMON) [id:11881411],0.3301357098352657,6.0,0.3704286793843839,2.2225720763063035,0.7337504100714218,6.0,pp_kernel,0.7069395267760633,0.0466293312855978,OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:11878952] | Joel Embiid OVER PR 35.5 (STANDARD) [id:11879068] | Dylan Harper OVER PRA 24.5 (DEMON) [id:11881411],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7337504100714218,"['og anunoby', 'joel embiid', 'dylan harper']",0.7337504100714218,1,OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:11878952],Joel Embiid OVER PR 35.5 (STANDARD) [id:11879068],Dylan Harper OVER PRA 24.5 (DEMON) [id:11881411],0,
3,Karl-Anthony Towns OVER PRA 29.5 (GOBLIN) [id:11879116] | Mikal Bridges OVER PA 14.5 (STANDARD) [id:11879151] | Dylan Harper OVER PRA 24.5 (DEMON) [id:11881411],0.3032784773888058,6.0,0.3978359183158418,2.387015509895051,0.723930429344435,6.0,pp_kernel,0.6867938709284922,0.03921900926168345,Karl-Anthony Towns OVER PRA 29.5 (GOBLIN) [id:11879116] | Mikal Bridges OVER PA 14.5 (STANDARD) [id:11879151] | Dylan Harper OVER PRA 24.5 (DEMON) [id:11881411],0.005,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,0.718930429344435,"['karl-anthony towns', 'mikal bridges', 'dylan harper']",0.723930429344435,1,Karl-Anthony Towns OVER PRA 29.5 (GOBLIN) [id:11879116],Mikal Bridges OVER PA 14.5 (STANDARD) [id:11879151],Dylan Harper OVER PRA 24.5 (DEMON) [id:11881411],0,
3,Jalen Brunson OVER RA 7.5 (GOBLIN) [id:11879057] | OG Anunoby OVER PR 23 (STANDARD) [id:11879178] | Stephon Castle OVER RA 14.5 (DEMON) [id:11881620],0.32531670813898655,6.0,0.3664588356832072,2.198753014099243,0.7152910925574405,6.0,pp_kernel,0.7020889534029591,0.05711580354856543,Jalen Brunson OVER RA 7.5 (GOBLIN) [id:11879057] | OG Anunoby OVER PR 23 (STANDARD) [id:11879178] | Stephon Castle OVER RA 14.5 (DEMON) [id:11881620],0.005,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,0.7102910925574405,"['jalen brunson', 'og anunoby', 'stephon castle']",0.7152910925574405,1,Jalen Brunson OVER RA 7.5 (GOBLIN) [id:11879057],OG Anunoby OVER PR 23 (STANDARD) [id:11879178],Stephon Castle OVER RA 14.5 (DEMON) [id:11881620],0,
3,Jalen Brunson OVER RA 8.5 (GOBLIN) [id:11879446] | Quentin Grimes UNDER PRA 10.5 (STANDARD) [id:11880018] | Stephon Castle OVER RA 14.5 (DEMON) [id:11881620],0.3182506242337372,6.0,0.37109335923499087,2.2265601554099455,0.708604159353182,6.0,pp_kernel,0.6963245459174062,0.04014211653049683,Jalen Brunson OVER RA 8.5 (GOBLIN) [id:11879446] | Quentin Grimes UNDER PRA 10.5 (STANDARD) [id:11880018] | Stephon Castle OVER RA 14.5 (DEMON) [id:11881620],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.708604159353182,"['jalen brunson', 'quentin grimes', 'stephon castle']",0.708604159353182,1,Jalen Brunson OVER RA 8.5 (GOBLIN) [id:11879446],Quentin Grimes UNDER PRA 10.5 (STANDARD) [id:11880018],Stephon Castle OVER RA 14.5 (DEMON) [id:11881620],0,
3,Jose Alvarado OVER RA 1.5 (GOBLIN) [id:11917437] | Keldon Johnson UNDER REB 3.5 (STANDARD) [id:11881526] | Stephon Castle OVER RA 14.5 (DEMON) [id:11881620],0.332210094631421,6.0,0.3572709257940058,2.143625554764035,0.7121340484024923,6.0,pp_kernel,0.7070227885638692,0.01808762147970079,Jose Alvarado OVER RA 1.5 (GOBLIN) [id:11917437] | Keldon Johnson UNDER REB 3.5 (STANDARD) [id:11881526] | Stephon Castle OVER RA 14.5 (DEMON) [id:11881620],0.005,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,0.7071340484024923,"['jose alvarado', 'keldon johnson', 'stephon castle']",0.7121340484024923,1,Jose Alvarado OVER RA 1.5 (GOBLIN) [id:11917437],Keldon Johnson UNDER REB 3.5 (STANDARD) [id:11881526],Stephon Castle OVER RA 14.5 (DEMON) [id:11881620],0,
3,VJ Edgecombe OVER PR 13.5 (GOBLIN) [id:11889504] | Tyrese Maxey UNDER PTS 24.5 (STANDARD) [id:11878983] | Karl-Anthony Towns OVER REB 14.5 (DEMON) [id:11879117],0.33522628438081953,6.0,0.35032546443946705,2.101952786636802,0.7046298226081648,6.0,pp_kernel,0.7089536960937274,0.08357041036162766,VJ Edgecombe OVER PR 13.5 (GOBLIN) [id:11889504] | Tyrese Maxey UNDER PTS 24.5 (STANDARD) [id:11878983] | Karl-Anthony Towns OVER REB 14.5 (DEMON) [id:11879117],0.005,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,0.6996298226081648,"['vj edgecombe', 'tyrese maxey', 'karl-anthony towns']",0.7046298226081648,1,VJ Edgecombe OVER PR 13.5 (GOBLIN) [id:11889504],Tyrese Maxey UNDER PTS 24.5 (STANDARD) [id:11878983],Karl-Anthony Towns OVER REB 14.5 (DEMON) [id:11879117],0,
