source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
oddsapi,NBA,Quentin Grimes,REB,2026-05-02 22:30:30,2.5,0.5,0.4361,0.5639,,,,n_books=5
oddsapi,NBA,Tyrese Maxey,FG3M,2026-05-02 22:30:30,2.5,0.7,0.5711,0.4289,,,,n_books=7
oddsapi,NBA,Payton Pritchard,FG3M,2026-05-02 22:30:30,2.5,0.8,0.5569,0.4431,,,,n_books=8
oddsapi,NBA,Paul George,FG3M,2026-05-02 22:30:30,2.5,0.6,0.4486,0.5514,,,,n_books=6
oddsapi,NBA,Derrick White,FG3M,2026-05-02 22:30:30,2.5,0.7,0.4431,0.5569,,,,n_books=7
oddsapi,NBA,Sam Hauser,FG3M,2026-05-02 22:30:30,2.5,0.7,0.439,0.561,,,,n_books=7
oddsapi,NBA,Jaylen Brown,FG3M,2026-05-02 22:30:30,1.5,0.6,0.6084,0.3916,,,,n_books=6
oddsapi,NBA,VJ Edgecombe,FG3M,2026-05-02 22:30:30,1.5,0.7,0.5641,0.4359,,,,n_books=7
oddsapi,NBA,Baylor Scheierman,FG3M,2026-05-02 22:30:30,1.5,0.7,0.4723,0.5277,,,,n_books=7
oddsapi,NBA,Joel Embiid,FG3M,2026-05-02 22:30:30,1.5,0.7,0.4528,0.5472,,,,n_books=7
oddsapi,NBA,Kelly Oubre Jr,FG3M,2026-05-02 22:30:30,1.5,0.7,0.3942,0.6058,,,,n_books=7
oddsapi,NBA,Quentin Grimes,FG3M,2026-05-02 22:30:30,0.5,0.4,0.6429,0.3571,,,,n_books=4
oddsapi,NBA,Nikola Vucevic,FG3M,2026-05-02 22:30:30,0.5,0.4,0.5768,0.4232,,,,n_books=4
oddsapi,NBA,Luka Garza,REB,2026-05-02 22:30:30,2.5,0.1,0.5227,0.4773,,,,n_books=1
oddsapi,NBA,Luka Garza,FG3M,2026-05-02 22:30:30,0.5,0.1,0.4232,0.5768,,,,n_books=1
oddsapi,NBA,Cade Cunningham,AST,2026-05-02 22:30:30,8.5,0.7,0.5294,0.4706,,,,n_books=7
oddsapi,NBA,Paolo Banchero,AST,2026-05-02 22:30:30,5.5,0.7,0.465,0.535,,,,n_books=7
oddsapi,NBA,Jalen Suggs,AST,2026-05-02 22:30:30,4.5,0.7,0.5482,0.4518,,,,n_books=7
oddsapi,NBA,Ausar Thompson,AST,2026-05-02 22:30:30,2.5,0.5,0.5956,0.4044,,,,n_books=5
oddsapi,NBA,Desmond Bane,AST,2026-05-02 22:30:30,2.5,0.5,0.5851,0.4149,,,,n_books=5
oddsapi,NBA,Anthony Black,AST,2026-05-02 22:30:30,2.5,0.7,0.5305,0.4695,,,,n_books=7
oddsapi,NBA,Tobias Harris,AST,2026-05-02 22:30:30,1.5,0.4,0.5986,0.4014,,,,n_books=4
oddsapi,NBA,Duncan Robinson,AST,2026-05-02 22:30:30,1.5,0.4,0.5762,0.4238,,,,n_books=4
oddsapi,NBA,Jalen Duren,AST,2026-05-02 22:30:30,1.5,0.4,0.5563,0.4437,,,,n_books=4
