game_date,player,team,stat,stat_u,line,direction,tier,z_line,min_cv,is_combo,bp_score_gated,bp_has,is_assists,is_threes,games_norm,thin_flag,line_norm,is_home_feat,min_sensitivity,game_total_norm,is_b2b,l20_edge,l10_has,margin,stat_cat,tier_cat,l40_hr,logit_p_x_demon,player_te,player_stat_te,player_dir_te,player_n_norm,line_dist,tail_risk,line_tightness,margin_x_under,q_blowout,rate_cv,abs_logit_p,q_x_under,rate_mean,rate_std,min_mean,min_std,opp,is_home,spread,minutes_s,is_star,fragility,usage_dep,recent_form_blend,opp_defense_strength,games_used,thin_window_mult,external_prior_score,external_prior_sources,is_questionable,rotowire_game_spread,p_new,p,p_role,p_adj,p_for_cal,p_cal,sb_over_prob
2026-03-28,Ace Bailey,UTA,AST,AST,1.5,OVER,GOBLIN,0.7548143207301551,0.22031654202724082,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0375,0.0,0.7,0.0,1.0,0.19999999999999996,1.0,0.5,2,1,0.575,0.0,0.012426018209101442,-0.033531662175424914,0.005134735862731332,1.0,0.4666666666666668,-0.5433053679944331,0.85,0.0,0.414660850763658,0.5856408512147784,0.8296474128443426,0.0,0.0804242172418042,0.0391857904765709,29.500717223045164,6.499496005904777,PHX,0.0,16.5,0.7,False,0.0227404446799659,0.883476,0.0,0.0,50,1.0,0.197375320224904,bettingpros,0,16.5,0.6962803719628037,0.6962803719628037,0.6962803719628037,0.7010473546081856,0.6911785885969404,0.7346794062131439,0.5
2026-03-28,Ace Bailey,UTA,AST,AST,2.5,OVER,DEMON,-0.110230904466258,0.22031654202724082,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0625,0.0,0.7,0.0,1.0,0.0,1.0,-0.08,2,2,0.375,-0.26918702808169953,0.012426018209101442,-0.033531662175424914,0.005134735862731332,1.0,-0.11999999999999993,0.2328451577118997,0.85,-0.0,0.414660850763658,0.5856408512147784,0.26918702808169953,0.0,0.0804242172418042,0.0391857904765709,29.500717223045164,6.499496005904777,PHX,0.0,16.5,0.7,False,0.0308484194260261,0.938124,0.0,0.0,50,1.0,0.0,bettingpros,0,16.5,0.4331066893310669,0.4331066893310669,0.4331066893310669,0.429933231350276,0.429933231350276,0.4101649273695993,0.5
2026-03-28,Ace Bailey,UTA,AST,AST,3.5,OVER,DEMON,-0.9752761296626712,0.22031654202724082,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0875,0.0,0.7,0.0,1.0,-0.35,1.0,-0.34285714285714286,2,2,0.125,-1.2166464737394609,0.012426018209101442,-0.033531662175424914,0.005134735862731332,1.0,-0.3714285714285714,1.0089956834182325,0.7,-0.0,0.414660850763658,0.5856408512147784,1.2166464737394609,0.0,0.0804242172418042,0.0391857904765709,29.500717223045164,6.499496005904777,PHX,0.0,16.5,0.7,False,0.0489028250220919,0.974556,0.0,0.0,50,1.0,0.0,bettingpros,0,16.5,0.2285271472852714,0.2285271472852714,0.2285271472852714,0.2268526838857338,0.2268526838857338,0.1716663133597497,0.5
2026-03-28,Ace Bailey,UTA,FG3M,FG3M,1.5,OVER,GOBLIN,0.7831083378283449,0.22031654202724082,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0375,0.0,0.45,0.0,1.0,0.15000000000000002,1.0,0.5,3,1,0.625,0.0,0.012426018209101442,-0.03282762339833817,0.005134735862731332,1.0,0.5,-0.5837172315870184,0.7,0.0,0.414660850763658,0.7953949089757173,1.07620647267127,0.0,0.1154426980900333,0.0824872799186509,29.500717223045164,6.499496005904777,PHX,0.0,16.5,0.45,False,0.0067817652085158,0.853776,0.0,0.0,50,1.0,0.0,,0,16.5,0.7457754224577542,0.7457754224577542,0.7457754224577542,0.7423663321897772,0.7423663321897772,0.724581449965032,0.5
2026-03-28,Ace Bailey,UTA,FG3M,FG3M,2.5,OVER,STANDARD,0.3721664207141605,0.22031654202724082,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0625,0.0,0.45,0.0,1.0,-0.09999999999999998,1.0,0.5,3,0,0.325,0.0,0.012426018209101442,-0.03282762339833817,0.005134735862731332,1.0,0.11999999999999993,-0.13470397652008112,0.65,0.0,0.414660850763658,0.7953949089757173,0.4050068415973429,0.0,0.1154426980900333,0.0824872799186509,29.500717223045164,6.499496005904777,PHX,0.0,16.5,0.45,False,0.0170995342000086,0.853776,0.0,0.0,50,1.0,0.0,,0,16.5,0.5998900109989002,0.5998900109989002,0.5998900109989002,0.5971477924478875,0.5971477924478875,0.4675704426788471,0.5
2026-03-28,Ace Bailey,UTA,FG3M,FG3M,3.5,OVER,DEMON,-0.0387754964000238,0.22031654202724082,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0875,0.0,0.45,0.0,1.0,-0.2,1.0,0.14285714285714285,3,2,0.175,-0.16757432364918984,0.012426018209101442,-0.03282762339833817,0.005134735862731332,1.0,-0.20000000000000004,0.3143092785468562,0.5,0.0,0.414660850763658,0.7953949089757173,0.16757432364918984,0.0,0.1154426980900333,0.0824872799186509,29.500717223045164,6.499496005904777,PHX,0.0,16.5,0.45,False,0.0207261435031295,0.888624,0.0,0.0,50,1.0,0.0,,0,16.5,0.4582041795820418,0.4582041795820418,0.4582041795820418,0.4561096356183755,0.4561096356183755,0.2359566935847829,0.5
2026-03-28,Ace Bailey,UTA,FG3M,FG3M,4.5,OVER,DEMON,-0.4497174135142082,0.22031654202724082,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1125,0.0,0.45,0.0,1.0,-0.25,1.0,-0.1111111111111111,3,2,0.125,-0.6932221739980545,0.012426018209101442,-0.03282762339833817,0.005134735862731332,1.0,-0.3777777777777778,0.7633225336137935,0.25,-0.0,0.414660850763658,0.7953949089757173,0.6932221739980545,0.0,0.1154426980900333,0.0824872799186509,29.500717223045164,6.499496005904777,PHX,0.0,16.5,0.45,False,0.0291502311907348,0.923472,0.0,0.0,50,1.0,0.0,,0,16.5,0.3333166683331667,0.3333166683331667,0.3333166683331667,0.3317930104383753,0.3317930104383753,0.1808956566050956,0.5
2026-03-28,Ace Bailey,UTA,FG3M,FG3M,2.5,UNDER,STANDARD,0.3721664207141605,0.22031654202724082,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0625,0.0,0.45,0.0,1.0,0.09999999999999998,1.0,-0.5,3,0,0.675,-0.0,0.012426018209101442,-0.03282762339833817,0.05552582881260243,1.0,0.11999999999999993,-0.13470397652008112,0.65,-0.5,0.414660850763658,0.7953949089757173,0.21035125447901895,0.414660850763658,0.1154426980900333,0.0824872799186509,29.500717223045164,6.499496005904777,PHX,0.0,16.5,0.45,False,0.0,0.853776,0.0,0.0,50,1.0,0.0,,0,16.5,0.4476052394760524,0.4476052394760524,0.4476052394760524,0.4514847186428055,0.4514847186428055,0.4313516528904057,0.5
2026-03-28,Ace Bailey,UTA,PA,PA,14.5,OVER,GOBLIN,1.0476268015301593,0.22031654202724082,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3625,0.0,1.0,0.0,1.0,0.30000000000000004,1.0,0.5,6,1,0.675,0.0,0.012426018209101442,-0.008111302963395517,0.005134735862731332,1.0,0.3793103448275862,-0.6288281455225324,0.2,0.0,0.414660850763658,0.4373213921133975,0.7610508528147638,0.0,0.770185391459064,0.2660030435610441,29.500717223045164,6.499496005904777,PHX,0.0,16.5,1.0,False,0.0218590195211348,0.97,0.0,0.0,50,1.0,0.9729298114517207,"bettingpros,rotowire",0,16.5,0.6815818418158184,0.6815818418158184,0.6815818418158184,0.7238254342074245,0.6751789436348384,0.6419166529835063,0.5
2026-03-28,Ace Bailey,UTA,PA,PA,18.5,OVER,GOBLIN,0.5378960782495322,0.22031654202724082,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4625,0.0,1.0,0.0,1.0,-0.09999999999999998,1.0,0.2702702702702703,6,1,0.4,0.0,0.012426018209101442,-0.008111302963395517,0.005134735862731332,1.0,0.08108108108108109,-0.17149858514250885,0.3,0.0,0.414660850763658,0.4373213921133975,0.3038870431884817,0.0,0.770185391459064,0.2660030435610441,29.500717223045164,6.499496005904777,PHX,0.0,16.5,1.0,False,0.0268611886357869,0.97,0.0,0.0,50,1.0,0.0,"bettingpros,rotowire",0,16.5,0.5753924607539246,0.5753924607539246,0.5753924607539246,0.5699871240587806,0.5699871240587806,0.5958992099074595,0.5
